source,image_path,channel,image_peak_rank,peak_y_local,peak_height,prominence,roi_x,roi_y,roi_w,roi_h,possible_hint
hene,data/raw/calibration/hene/hene_001_full.png,B,2,819.000,14.8810305,2.01567537,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,B,3,860.000,14.7209993,1.27878246,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,B,4,879.000,13.4671349,1.48334085,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,B,5,1058.000,13.1381732,1.42925824,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,Gray,1,173.000,14.1276665,0.559405013,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,Gray,2,819.000,15.4604252,1.61394408,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,Gray,3,837.000,16.2482456,1.02473789,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,Gray,4,845.000,15.9201984,0.850560543,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,Gray,5,860.000,15.1302314,0.973966435,0,0,915,1080,632.8
hene,data/raw/calibration/hene/hene_001_full.png,Gray,6,871.000,14.5099143,1.15511392,0,0,915,1080,632.8
