source,standard_file,standard_peak_rank,standard_peak_wavelength_nm,standard_peak_prominence,standard_possible_hint,candidate_rank_for_standard,candidate_image_path,candidate_channel,candidate_y_local,candidate_peak_height,candidate_peak_prominence,candidate_image_rank,match_score,channel_compatibility,selection_status,selection_note
na,data/raw/reference_spectrometer/na/na.txt,2,568.700000,0.942857143,,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.515815,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,2,568.700000,0.942857143,,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.340199,0.750,,
na,data/raw/reference_spectrometer/na/na.txt,3,569.100000,0.771428571,,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.530073,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,3,569.100000,0.771428571,,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.515355,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,3,569.100000,0.771428571,,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.339739,0.750,,
na,data/raw/reference_spectrometer/na/na.txt,4,584.000000,0.2,,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.528537,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,4,584.000000,0.2,,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.513819,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,4,584.000000,0.2,,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.338203,0.750,,
na,data/raw/reference_spectrometer/na/na.txt,5,584.400000,0.2,,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.528537,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,5,584.400000,0.2,,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.513819,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,5,584.400000,0.2,,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.338203,0.750,,
na,data/raw/reference_spectrometer/na/na.txt,6,584.700000,0.2,,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.528537,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,6,584.700000,0.2,,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.513819,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,6,584.700000,0.2,,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.338203,0.750,,
na,data/raw/reference_spectrometer/na/na.txt,7,585.100000,0.2,,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.528537,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,7,585.100000,0.2,,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.513819,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,7,585.100000,0.2,,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.338203,0.750,,
na,data/raw/reference_spectrometer/na/na.txt,8,587.400000,0.171428571,near 589.3 nm possible_hint_only,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.608461,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,8,587.400000,0.171428571,near 589.3 nm possible_hint_only,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.593742,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,8,587.400000,0.171428571,near 589.3 nm possible_hint_only,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.418126,0.750,,
na,data/raw/reference_spectrometer/na/na.txt,9,589.500000,130.257143,near 589.3 nm possible_hint_only,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.958000,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,9,589.500000,130.257143,near 589.3 nm possible_hint_only,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.943282,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,9,589.500000,130.257143,near 589.3 nm possible_hint_only,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.767666,0.750,,
na,data/raw/reference_spectrometer/na/na.txt,10,591.100000,0.2,near 589.3 nm possible_hint_only,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.608537,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,10,591.100000,0.2,near 589.3 nm possible_hint_only,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.593819,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,10,591.100000,0.2,near 589.3 nm possible_hint_only,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.418203,0.750,,
na,data/raw/reference_spectrometer/na/na.txt,11,591.500000,0.2,near 589.3 nm possible_hint_only,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.608537,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,11,591.500000,0.2,near 589.3 nm possible_hint_only,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.593819,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,11,591.500000,0.2,near 589.3 nm possible_hint_only,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.418203,0.750,,
na,data/raw/reference_spectrometer/na/na.txt,12,591.900000,0.171428571,near 589.3 nm possible_hint_only,1,data/raw/calibration/na/na_001_full.png,R,506.000,53.7005468,11.8530213,1,0.608461,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,12,591.900000,0.171428571,near 589.3 nm possible_hint_only,2,data/raw/calibration/na/na_001_001_full.png,R,504.000,54.116315,11.3243713,1,0.593742,0.900,,
na,data/raw/reference_spectrometer/na/na.txt,12,591.900000,0.171428571,near 589.3 nm possible_hint_only,3,data/raw/calibration/na/na_001_001_full.png,Gray,503.000,30.597202,6.84837892,2,0.418126,0.750,,
hene,data/raw/reference_spectrometer/hene/hene.txt,1,631.600000,31.6428571,near 632.8 nm possible_hint_only,1,data/raw/calibration/hene/hene_001_full.png,R,537.000,22.2074942,1.54082742,1,0.902259,1.000,selected,chosen by automatic monotonic fit search
hene,data/raw/reference_spectrometer/hene/hene.txt,1,631.600000,31.6428571,near 632.8 nm possible_hint_only,2,data/raw/calibration/hene/hene_001_full.png,R,816.000,21.9548787,1.62543278,2,0.898111,1.000,,
hene,data/raw/reference_spectrometer/hene/hene.txt,1,631.600000,31.6428571,near 632.8 nm possible_hint_only,3,data/raw/calibration/hene/hene_001_full.png,R,836.000,23.0084308,1.34159213,3,0.833641,1.000,,
